Bigrammes :
('le', 'monde.'): 1 
('monde.', '—'): 1 
('—', 'Comme'): 1 
('Comme', 'toujours,'): 1 
('toujours,', 'Sire,'): 1 
('Sire,', 'remarqua'): 1 
('remarqua', 'Demerzel,'): 1 
('Demerzel,', 'vous'): 1 
('vous', 'faites'): 1 
('faites', 'preuve'): 1 
('preuve', 'de'): 1 
('de', 'bon'): 1 
('bon', 'sens.'): 1 
('sens.', 'Nous'): 1 
('Nous', 'vivons'): 1 
('vivons', 'en'): 1 
('en', 'des'): 1 
('des', 'temps'): 1 
('temps', 'troublés'): 1 
('troublés', 'et'): 1 
('et', 'il'): 2 
('il', 'ne'): 3 
('ne', '«'): 1 
('«', 'Lieutenant'): 1 
('Lieutenant', 'Alban'): 1 
('Alban', 'Wellis,'): 1 
('Wellis,', 'dit'): 1 
('dit', 'l’officier'): 1 
('l’officier', 'de'): 1 
('la', 'garde'): 1 
('garde', 'impériale'): 1 
('impériale', 'avant'): 1 
('avant', 'de'): 1 
('de', 'ranger'): 1 
('ranger', 'sa'): 1 
('sa', 'carte.'): 1 
('carte.', 'Voulez-vous'): 1 
('Voulez-vous', 'bien'): 1 
('bien', 'me'): 1 
('me', 'suivre,'): 1 
('suivre,', 'monsieur'): 1 
('monsieur', '?'): 1 
('»', 'Wellis'): 1 
('Wellis', 'était'): 1 
('était', 'armé,'): 1 
('armé,', 'bien'): 1 
('bien', 'sûr.'): 1 
('sûr.', 'Et'): 1 
('Et', 'deux'): 1 
('deux', 'autres'): 2 
('autres', 'gardes'): 1 
('gardes', 'attendaient'): 1 
('attendaient', 'devant'): 1 
('devant', 'sa'): 1 
('sa', 'porte.'): 1 
('porte.', 'Seldon'): 1 
('Seldon', 'savait'): 1 
('savait', 'qu’il'): 1 
('qu’il', 'n’avait'): 1 
('n’avait', 'pas'): 1 
('pas', 'le'): 5 
('le', 'choix,'): 1 
('choix,', 'nonobstant'): 1 
('nonobstant', 'les'): 1 
('les', 'circonlocutions'): 1 
('circonlocutions', 'polies'): 1 
('polies', 'de'): 1 
('de', 'l’autre,'): 1 
('l’autre,', 'mais'): 1 
('mais', 'rien'): 1 
('rien', 'ne'): 1 
('ne', 'lui'): 1 
('lui', 'interdisait'): 1 
('interdisait', 'de'): 1 
('de', 'chercher'): 1 
('chercher', 'à'): 1 
('à', 'en'): 1 
('en', 'savoir'): 2 
('savoir', 'plus'): 1 
('plus', ':'): 1 
('«', 'Pour'): 1 
('Pour', 'voir'): 1 
